tm;season;avg_pts;avg_trb;avg_ast;total_games;distinct_players;season_year
PHO;2017;490.6111111111111;204.88888888888889;89.11111111111111;866;18;2017
PHO;2018;387.3636363636364;164.45454545454547;79.22727272727273;859;22;2018
PHO;2019;367.2916666666667;137.95833333333334;81.54166666666667;833;24;2019
PHO;2020;436.5263157894737;167.21052631578948;104.57894736842105;750;19;2020
PHO;2021;488.2352941176471;181.88235294117646;114.05882352941177;794;17;2021
PHO;2022;409.39130434782606;161.47826086956522;97.56521739130434;862;23;2022
PHO;2023;465.95;181.04.00;111.75;898;20;2023
PHO;2024;433.27272727272725;164.27272727272728;100.81818181818181;894;22;2024
PHO;2025;428.55.00;160.04.00;104.95;805;20;2025
PHW;1947;343.1666666666667;;28.583333333333332;568;12;1947
PHW;1948;251.05.00;;23.928571428571427;441;14;1948
PHW;1949;334.08.00;;69.53333333333333;578;15;1949
PHW;1950;293.11764705882354;;67.17647058823529;686;17;1950
PHW;1951;469.05.00;277.05.00;119.25.00;625;12;1951
PHW;1952;476.00.00;268.8333333333333;132.75;606;12;1952
PHW;1953;325.00.00;192.94117647058823;88.47058823529412;619;17;1953
PHW;1954;469.3333333333333;276.0833333333333;122.33333333333333;624;12;1954
PHW;1955;447.53333333333336;260.04.00;116.33333333333333;634;15;1955
PHW;1956;674.9090909090909;354.27272727272725;171.45454545454547;682;11;1956
